iter	Logloss
0	0.6525949655
1	0.6210060596
2	0.5919650151
3	0.5666164593
4	0.5448417292
5	0.5236082939
6	0.5049717561
7	0.4879295584
8	0.4742859173
9	0.4591563555
10	0.446738352
11	0.4343403387
12	0.4218910229
13	0.4083946208
14	0.3976289682
15	0.3896575665
16	0.3779824114
17	0.369218905
18	0.3618642469
19	0.3507672095
20	0.3433311105
21	0.3374442204
22	0.3331531374
23	0.3243562984
24	0.319047579
25	0.3123102816
26	0.3077272216
27	0.3021924671
28	0.2967990867
29	0.2915332564
30	0.2860227187
31	0.28176452
32	0.2780190452
33	0.2736637664
34	0.2700116666
35	0.2669058943
36	0.2637616348
37	0.2602696872
38	0.2566163166
39	0.2531498138
40	0.2479631058
41	0.2452543537
42	0.2429303749
43	0.2395755299
44	0.2353279797
45	0.2332519031
46	0.2301209553
47	0.2264460286
48	0.2224406886
49	0.2209455506
50	0.2190711927
51	0.2172705793
52	0.2137561472
53	0.2113083498
54	0.2097577437
55	0.2081716418
56	0.2064051978
57	0.2039703584
58	0.2017439524
59	0.1998459244
60	0.1976709207
61	0.1951921495
62	0.1937261359
63	0.1920524391
64	0.1895322752
65	0.1879721324
66	0.1866287613
67	0.1845461321
68	0.1831723181
69	0.1815784518
70	0.180075798
71	0.1788967292
72	0.1770597728
73	0.1758481948
74	0.1748106384
75	0.1742266273
76	0.1727538665
77	0.1713480171
78	0.1704356098
79	0.1695446539
80	0.1682119989
81	0.166870424
82	0.1656352123
83	0.1648948113
84	0.1640676943
85	0.1633203983
86	0.1622757069
87	0.1614679941
88	0.1606721449
89	0.1602239704
90	0.1595345672
91	0.1585032813
92	0.1578244972
93	0.1568924141
94	0.1564848169
95	0.1553696076
96	0.154495155
97	0.1538775063
98	0.153560063
99	0.1532258908
