iter	Passed	Remaining
0	1	104
1	1	86
2	2	84
3	3	82
4	4	80
5	6	102
6	7	100
7	8	98
8	9	95
9	10	92
10	10	88
11	11	86
12	12	83
13	13	80
14	13	77
15	14	75
16	15	73
17	15	71
18	16	69
19	17	68
20	17	66
21	18	65
22	19	63
23	20	64
24	21	64
25	22	63
26	22	61
27	23	60
28	24	59
29	25	58
30	25	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	32	47
41	33	46
42	35	46
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	41
49	40	40
50	41	40
51	42	39
52	43	38
53	43	37
54	44	36
55	45	35
56	45	34
57	46	33
58	47	32
59	47	31
60	48	31
61	49	30
62	50	29
63	50	28
64	51	27
65	52	26
66	52	26
67	53	25
68	54	24
69	55	23
70	55	22
71	56	21
72	57	21
73	57	20
74	58	19
75	59	18
76	59	17
77	60	17
78	61	16
79	62	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	70	6
91	71	6
92	71	5
93	72	4
94	73	3
95	74	3
96	74	2
97	75	1
98	76	0
99	76	0
